timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,adaptive_alert,fixed_alert,score,threshold,error
1772861854.523948,bc5ab3e5b7e3fe0a27636d65,/predict,200,180.2313,normal,0,0,0,0.432001,0.880000,
1772861854.524310,35c30a9d26e586290788217c,/score,200,180.2245,normal,0,1,1,0.991211,0.880000,
1772861854.582689,854c1db9e8e1ae04fb21b6cc,/predict,200,179.5985,normal,0,0,0,0.432001,0.880000,
1772861854.700947,2285cefebbb42dcc541a55af,/predict,200,177.4069,normal,0,0,0,0.432001,0.880000,
1772861854.701146,942a880f0fb37a706efd5286,/score,200,177.3918,normal,0,0,0,0.432001,0.880000,
1772861854.701543,d03165286f6afd9fa8e638d9,/predict,200,177.5854,normal,0,1,1,0.989015,0.880000,
1772861854.701841,0fc4eafd422a12aa9c19187b,/score,200,177.5217,normal,0,1,1,0.981792,0.880000,
1772861854.760750,e3aff3d257cf8b3c74fc498a,/score,200,178.0367,normal,0,0,0,0.432001,0.880000,
1772861854.881543,0634bd8e20d54b64d0eca121,/detect_drift,200,180.5769,normal,0,1,1,0.997100,0.880000,
1772861854.881765,3b6ea1e731f421b33a22b59a,/detect_drift,200,180.6100,normal,0,0,0,0.432001,0.880000,
1772861854.881998,495327413cdda9cf731f5c12,/score,200,180.4425,normal,0,1,1,0.965054,0.880000,
1772861854.882437,5561241ca5786a8fa6a79b2e,/score,200,180.5769,normal,0,1,1,0.966820,0.880000,
1772861854.941437,cfa182d6dacaf2d391a795ab,/score,200,180.6636,normal,0,0,0,0.432001,0.880000,
1772861855.061500,2b1eb0f79ec69381d08ea6d5,/score,200,179.9327,normal,0,0,0,0.432001,0.880000,
1772861855.061728,d7da9d854a60d96bea06f054,/score,200,179.9522,normal,0,1,1,0.981167,0.880000,
1772861855.061939,bc12877dbbf8d3e1d366e2df,/detect_drift,200,179.9230,normal,0,0,0,0.432001,0.880000,
1772861855.062288,6385c8ee1c467b7f5c491ad8,/predict,200,179.8388,normal,0,0,0,0.432001,0.880000,
1772861855.121414,c5c681e4fe256c066fd48856,/detect_drift,200,179.9562,normal,0,0,0,0.432001,0.880000,
1772861855.242508,c4d0c15dd8950275e5163708,/score,200,180.9805,normal,0,0,0,0.432001,0.880000,
1772861855.242709,2f419f145afe97eef60f5caf,/predict,200,180.9693,normal,0,0,0,0.432001,0.880000,
1772861855.242886,9c7cba22ff2b5eef99f7f92d,/score,200,180.9382,normal,0,1,1,0.996681,0.880000,
1772861855.243205,8b2740c50f2e8dbee20b003c,/score,200,180.9068,normal,0,1,1,0.969961,0.880000,
1772861855.303577,87917f7f654c3f67bd8b3451,/score,200,182.1356,normal,0,1,1,0.980312,0.880000,
1772861855.425577,adf337217b246ade8fdc0a9c,/score,200,183.0451,normal,0,1,1,0.985867,0.880000,
1772861855.425855,c82757056d0e3b6d4fad9920,/score,200,183.1365,normal,0,1,1,0.964390,0.880000,
1772861855.426090,5eebfb4bfa7197320ae64589,/score,200,183.1936,normal,0,0,0,0.432001,0.880000,
1772861855.426481,22f39db134761b06742205d2,/score,200,183.2660,normal,0,1,1,0.994959,0.880000,
1772861855.486256,cc959b7ae3dfedb558cf3013,/predict,200,182.6546,normal,0,1,1,0.965754,0.880000,
1772861855.609500,f441552278386b81acb41d0a,/predict,200,183.8965,normal,0,1,1,0.997473,0.880000,
1772861855.609732,53981c8a951853c72639293f,/predict,200,183.8605,normal,0,1,1,0.964583,0.880000,
1772861855.609939,59b798f2470a8de0fb1d0cee,/predict,200,183.8374,normal,0,1,1,0.979232,0.880000,
1772861855.610365,0870cba7c5a46ab0d22900d3,/score,200,183.8737,normal,0,1,1,0.967220,0.880000,
1772861855.670912,8fd9392e7e144fe690b9ec2c,/predict,200,184.6360,normal,0,0,0,0.432001,0.880000,
1772861855.794011,26437f6fb6377189343c00fe,/detect_drift,200,184.4870,normal,0,0,0,0.432001,0.880000,
1772861855.794234,3d20ef45ffbb756ca8b220ff,/score,200,184.4900,normal,0,0,0,0.432001,0.880000,
1772861855.794434,e7e441bc1ddb64226ec00950,/score,200,184.4837,normal,0,1,1,0.980941,0.880000,
1772861855.794770,e1a17c482f11768f2decd2c5,/score,200,184.3893,normal,0,1,1,0.965352,0.880000,
1772861855.855477,a56fc8db4a3674e72fe12f2e,/score,200,184.5444,normal,0,0,0,0.432001,0.880000,
1772861855.978589,71bb97e3e6bc70d5c8bcaf92,/score,200,184.5562,normal,0,0,0,0.432001,0.880000,
1772861855.978800,f30afa5be6bbe29eefed12ef,/detect_drift,200,184.5535,normal,0,1,1,0.959191,0.880000,
1772861855.979003,43c89330300b65a3cdf82a17,/score,200,184.5595,normal,0,1,1,0.964004,0.880000,
1772861855.979365,64f143629574be5dc8d9e910,/score,200,184.5849,normal,0,0,0,0.432001,0.880000,
1772861856.040371,ea77380e53996ca1d55c5803,/predict,200,184.8766,normal,0,1,1,0.994400,0.880000,
1772861856.163948,68cef3215facf573f3ca3035,/predict,200,185.3400,normal,0,0,0,0.432001,0.880000,
1772861856.164176,93ad5750319138de3e9eebbd,/score,200,185.3663,normal,0,1,1,0.964937,0.880000,
1772861856.164390,5cfa99772af09f95441d9f8d,/detect_drift,200,185.3779,normal,0,1,1,0.984480,0.880000,
1772861856.164781,9b39c4549efb19423bb25f86,/predict,200,185.4057,normal,0,1,1,0.996882,0.880000,
1772861856.225666,344d16e14c2d9dc9bd172b13,/predict,200,185.2708,normal,0,0,0,0.432001,0.880000,
1772861856.348222,9f58ce3ca9e9e9aceeb57b40,/predict,200,184.2500,normal,0,0,0,0.432001,0.880000,
1772861856.348442,35273bac2cf59f02c6cc3abe,/score,200,184.2550,normal,0,0,0,0.432001,0.880000,
1772861856.348641,b4f97aa804ad3ccbd72bd1fd,/score,200,184.2403,normal,0,0,0,0.432001,0.880000,
1772861856.348984,37024bce400d901d7330bc42,/score,200,184.1880,normal,0,0,0,0.432001,0.880000,
1772861856.409122,f334ecce1e9cdb55854da876,/predict,200,183.4362,normal,0,0,0,0.432001,0.880000,
1772861856.530857,26e6b1a8835b8d1b1db52e2f,/predict,200,182.6112,normal,0,1,1,0.981041,0.880000,
1772861856.531077,b9bfbf022d5b36598e77871e,/score,200,182.6240,normal,0,0,0,0.432001,0.880000,
1772861856.531281,519dd0b6c2357ea101fc0fab,/score,200,182.6305,normal,0,1,1,0.993233,0.880000,
1772861856.531626,e07ff67a1f403ecc4719ced4,/detect_drift,200,182.6325,normal,0,1,1,0.995866,0.880000,
1772861856.592365,1c1a117747af9714bc37dcde,/detect_drift,200,183.2195,normal,0,0,0,0.432001,0.880000,
1772861856.714808,934fd89a425e5b82fde05be0,/detect_drift,200,183.9282,normal,0,0,0,0.432001,0.880000,
1772861856.715053,473c0be6238aa6bca95b33bd,/score,200,183.9649,normal,0,0,0,0.432001,0.880000,
