timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,adaptive_alert,fixed_alert,score,threshold,error
1772862988.492852,36d92d531f207102f9ef50d3,/score,200,6.2502,normal,0,0,0,0,0.000000,0.000000,
1772862988.493986,1ece1b99a26e3e0f13408aeb,/score,200,2.4019,normal,0,0,0,0,0.000000,0.000000,
1772862988.499027,5610620a07bae040aa9e9bce,/score,200,6.8861,normal,0,0,0,0,0.000000,0.000000,
1772862988.499201,151ab868d44af4ccefd99000,/score,200,7.4476,normal,0,0,0,0,0.000000,0.000000,
1772862988.499403,1f1adb35904463ca411abc4d,/score,200,7.4697,normal,0,0,0,0,0.000000,0.000000,
1772862988.499622,513fc4a47dba54c4e8abf192,/score,200,6.7579,normal,0,0,0,0,0.000000,0.000000,
1772862988.500314,6afc56f3a2c8e788d4d0d867,/score,200,6.3173,normal,0,0,0,0,0.000000,0.000000,
1772862988.501477,9754f6728b40410fc6e26ca8,/predict,200,2.4377,normal,0,0,0,0,0.000000,0.000000,
1772862988.506432,129ddd53f67269c8b0363df6,/detect_drift,200,6.1086,normal,0,0,0,0,0.485342,0.880000,
1772862988.506607,87ba9db906b60254395dd7f9,/detect_drift,200,7.3963,normal,0,0,0,0,0.925723,0.880000,
1772862988.506808,eaa84fbecd371c9de4e8b11d,/detect_drift,200,7.3948,normal,0,0,0,0,0.415366,0.880000,
1772862988.507015,89f885a28faea4faf331f7fa,/predict,200,7.3842,normal,0,0,0,0,0.000000,0.000000,
1772862988.507543,66fa9cdd714025fbde73ba23,/detect_drift,200,6.0573,normal,0,0,0,0,0.498434,0.880000,
1772862988.509107,cc5caa8ad8719b95749f94e3,/predict,200,2.6655,normal,0,0,0,0,0.000000,0.000000,
1772862988.514188,70631fd7e0da2d8e17d6f4f3,/score,200,6.6349,normal,0,0,0,0,0.000000,0.000000,
1772862988.514377,a179ed4a8f79c47205de368a,/score,200,7.7610,normal,0,0,0,0,0.000000,0.000000,
1772862988.514570,1b8eff7775eefadf2d91a614,/score,200,7.7532,normal,0,0,0,0,0.000000,0.000000,
1772862988.514897,db6cb4b3854c6a4586775356,/predict,200,7.8723,normal,0,0,0,0,0.000000,0.000000,
1772862988.515565,bd2b5fa3ff54826de6b6dfe3,/detect_drift,200,6.4470,normal,0,0,0,0,0.402477,0.880000,
1772862988.516788,67af2b6217d081f8561a91a1,/predict,200,2.5851,normal,0,0,0,0,0.000000,0.000000,
1772862988.521753,e4ee9f2a712b9d1be0bb0bce,/predict,200,6.1776,normal,0,0,0,0,0.000000,0.000000,
1772862988.521926,caf3d9d2b2f6e05fdb832f09,/predict,200,7.5399,normal,0,0,0,0,0.000000,0.000000,
1772862988.522119,5e53d03b7909cf5bb153953f,/predict,200,7.5398,normal,0,0,0,0,0.000000,0.000000,
1772862988.522338,57c74f95bd26243179731c1a,/detect_drift,200,7.4321,normal,0,0,0,0,0.402477,0.880000,
1772862988.522862,b6b63d12b95c53555c34e661,/predict,200,6.0645,normal,0,0,0,0,0.000000,0.000000,
1772862988.524382,27f8b2767a5011b59307395f,/predict,200,2.6195,normal,0,0,0,0,0.000000,0.000000,
1772862988.529405,214d03dea3e8cd581e7a2187,/predict,200,6.5333,normal,0,0,0,0,0.000000,0.000000,
1772862988.529561,ac9a0fe6d262717a81fc1fb4,/predict,200,7.6260,normal,0,0,0,0,0.000000,0.000000,
1772862988.529752,32672e7ecd0bed27dd4d6136,/predict,200,7.6235,normal,0,0,0,0,0.000000,0.000000,
1772862988.529949,ffc95f132c98a302bb8e8ffb,/detect_drift,200,7.6025,normal,0,0,0,0,0.943580,0.880000,
1772862988.530707,f0b75908e02161ea62cfa1f3,/score,200,6.3160,normal,0,0,0,0,0.000000,0.000000,
1772862988.531727,ec000a5866a50aaea445692d,/detect_drift,200,2.3123,normal,0,0,0,0,0.435496,0.880000,
1772862988.536722,80694f956198982abb40f00f,/predict,200,6.0047,normal,0,0,0,0,0.000000,0.000000,
1772862988.536892,188739781f6d72532d2bf0d0,/score,200,7.3220,normal,0,0,0,0,0.000000,0.000000,
1772862988.537073,361a3ae2202280f045794662,/score,200,7.3123,normal,0,0,0,0,0.000000,0.000000,
1772862988.537295,d1549fb0e170514d672af152,/predict,200,7.3375,normal,0,0,0,0,0.000000,0.000000,
1772862988.537959,7b8c484eb2eceea61c643349,/score,200,6.2226,normal,0,0,0,0,0.000000,0.000000,
1772862988.539127,57f850476b80049f4f56a1a6,/score,200,2.3950,normal,0,0,0,0,0.000000,0.000000,
1772862988.544202,a0ec56d4272808abacffaa00,/predict,200,6.8971,normal,0,0,0,0,0.000000,0.000000,
1772862988.544356,d8b1f63d92e71e339ac00c52,/predict,200,7.4547,normal,0,0,0,0,0.000000,0.000000,
1772862988.544549,844fd2458047cf6d76d9523a,/detect_drift,200,7.4668,normal,0,0,0,0,0.977151,0.880000,
1772862988.544765,992715eac5f7d7c5f031f30f,/detect_drift,200,6.7970,normal,0,0,0,0,0.809661,0.880000,
1772862988.545457,8f9ac4ac02cdd18d52bd1367,/score,200,6.3211,normal,0,0,0,0,0.000000,0.000000,
1772862988.546601,62649ab08c596719501334a4,/score,200,2.3885,normal,0,0,0,0,0.000000,0.000000,
1772862988.551560,a8a7ffdd4893fdda4527be6e,/score,200,6.0939,normal,0,0,0,0,0.000000,0.000000,
1772862988.551753,e5665cbfdf8b1bf067fed5e3,/predict,200,7.3887,normal,0,0,0,0,0.000000,0.000000,
1772862988.552138,ed7fbf2700034fc0a4cb0b77,/score,200,7.5804,normal,0,0,0,0,0.000000,0.000000,
1772862988.552375,66c043e1723dced4398346ba,/detect_drift,200,7.5999,normal,0,0,0,0,0.974658,0.880000,
1772862988.553060,e91bcadc8d4c4bb579585a9d,/predict,200,6.4468,normal,0,0,0,0,0.000000,0.000000,
1772862988.554311,2e1af66151a6f61780512154,/detect_drift,200,2.7350,normal,0,0,0,0,0.472371,0.880000,
1772862988.559129,fbc1e3bf1cd16d4e7f6bd063,/score,200,6.7439,normal,0,0,0,0,0.000000,0.000000,
1772862988.559417,daad0f657e7cd0e8a77b25c8,/predict,200,7.6537,normal,0,0,0,0,0.000000,0.000000,
1772862988.559629,e6223801d411804ac450bcdc,/predict,200,7.4815,normal,0,0,0,0,0.000000,0.000000,
1772862988.559869,72edb1339ef2dc64a9028b4a,/score,200,6.7987,normal,0,0,0,0,0.000000,0.000000,
1772862988.560420,768effc4de951a4fe145a8aa,/score,200,6.0973,normal,0,0,0,0,0.000000,0.000000,
1772862988.561875,3ee1ca107c3c9cb866c0abc7,/score,200,2.7350,normal,0,0,0,0,0.000000,0.000000,
1772862988.566700,c0132660c023097abbebb7f9,/predict,200,6.2692,normal,0,0,0,0,0.000000,0.000000,
1772862988.566878,0869bfb88036e6bf74f289dd,/predict,200,7.4510,normal,0,0,0,0,0.000000,0.000000,
1772862988.567074,510c6b5e4fa4f6c94286a8e7,/predict,200,7.4351,normal,0,0,0,0,0.000000,0.000000,
1772862988.567296,92f129b5c8f73f3731c02801,/predict,200,7.4178,normal,0,0,0,0,0.000000,0.000000,
1772862988.567820,afeed40a3d84261a6e8f6aea,/score,200,5.9352,normal,0,0,0,0,0.000000,0.000000,
1772862988.569252,4c886918c412c202d6ae1f82,/score,200,2.5418,normal,0,0,0,0,0.000000,0.000000,
1772862988.573982,814c71047b9b6112e8169f76,/score,200,6.1523,normal,0,0,0,0,0.000000,0.000000,
1772862988.574158,a0a417d75d875065fdfd755b,/detect_drift,200,7.2705,normal,0,0,0,0,0.958461,0.880000,
1772862988.574534,65b24f6eb147b55e2d8abe9f,/detect_drift,200,7.4503,normal,0,0,0,0,0.609144,0.880000,
1772862988.574759,31907dbd81949fad07938734,/score,200,7.4531,normal,0,0,0,0,0.000000,0.000000,
1772862988.575415,fdb16362f4175c3157853d6f,/score,200,6.1537,normal,0,0,0,0,0.000000,0.000000,
1772862988.576485,8bedd3301612314ca6e73a5a,/predict,200,2.4919,normal,0,0,0,0,0.000000,0.000000,
1772862988.581436,e5d3a0b7164de2de5353819b,/predict,200,6.0114,normal,0,0,0,0,0.000000,0.000000,
1772862988.581592,cda8a4fd3bf89453302e8e6d,/score,200,7.4239,normal,0,0,0,0,0.000000,0.000000,
1772862988.581787,69fabecdf84654d1c0d95adc,/detect_drift,200,7.2430,normal,0,0,0,0,0.911647,0.880000,
1772862988.582018,61e6b10178eb269b28f9bdf3,/detect_drift,200,7.2496,normal,0,0,0,0,0.402477,0.880000,
1772862988.582633,6120b0daab42b53f23032894,/predict,200,6.1384,normal,0,0,0,0,0.000000,0.000000,
1772862988.584052,196af7ad0f00590324a29e41,/detect_drift,200,2.6053,normal,0,0,0,0,0.402477,0.880000,
1772862988.588861,71082a9af603b3ea33209aaf,/detect_drift,200,6.2184,normal,0,0,0,0,0.931069,0.880000,
1772862988.589037,5184be1aec223c2ca9b4fc8b,/score,200,7.4350,normal,0,0,0,0,0.000000,0.000000,
1772862988.589434,40daf50236b7d30563bb4eb0,/predict,200,7.6383,normal,0,0,0,0,0.000000,0.000000,
1772862988.589639,a05abee452791bbb07bfcc35,/score,200,7.6113,normal,0,0,0,0,0.000000,0.000000,
1772862988.590270,80b06a45b1eca2f4b82e54c7,/predict,200,6.2086,normal,0,0,0,0,0.000000,0.000000,
1772862988.591413,c6d0690bce7c822b755cba8e,/score,200,2.5412,normal,0,0,0,0,0.000000,0.000000,
1772862988.596130,d3400044862a9bd70799da64,/score,200,5.8508,normal,0,0,0,0,0.000000,0.000000,
1772862988.596307,135bb4721232e9d8f0af0f68,/score,200,7.2598,normal,0,0,0,0,0.000000,0.000000,
1772862988.596762,c1ceb1e626dfd99621c10040,/predict,200,7.3179,normal,0,0,0,0,0.000000,0.000000,
1772862988.596987,0e53fd2b39982ebaca891535,/predict,200,7.3384,normal,0,0,0,0,0.000000,0.000000,
1772862988.597699,1191176dbcce728c848e36e1,/score,200,6.2764,normal,0,0,0,0,0.000000,0.000000,
1772862988.598771,553822846ebf755dad377091,/predict,200,2.6306,normal,0,0,0,0,0.000000,0.000000,
1772862988.603701,aac8e3fa0f46d2e0c5cdd2e9,/detect_drift,200,5.9923,normal,0,0,0,0,0.873547,0.880000,
1772862988.603892,df8c1aec97e1de5b8ca1b269,/predict,200,7.5756,normal,0,0,0,0,0.000000,0.000000,
1772862988.604323,7305c004652ba30ac814358f,/score,200,7.5504,normal,0,0,0,0,0.000000,0.000000,
1772862988.604566,eeeed0ec1288a95b5037236c,/predict,200,7.5696,normal,0,0,0,0,0.000000,0.000000,
1772862988.605225,4151c6076422251af6b708f6,/score,200,6.4435,normal,0,0,0,0,0.000000,0.000000,
1772862988.606372,96a78126e00646054d566dfb,/predict,200,2.6578,normal,0,0,0,0,0.000000,0.000000,
1772862988.611306,11a7186c612c9813f6030be3,/detect_drift,200,6.0717,normal,0,0,0,0,0.402477,0.880000,
1772862988.611474,0ab51fca03dbb6faa371cd89,/predict,200,7.5710,normal,0,0,0,0,0.000000,0.000000,
1772862988.611670,bed051eb955684269df4569e,/detect_drift,200,7.3363,normal,0,0,0,0,0.402477,0.880000,
1772862988.611891,6cfe1e761fcdaa7447bacd61,/score,200,7.3154,normal,0,0,0,0,0.000000,0.000000,
1772862988.612620,1428dabe2eee09fa051b9869,/score,200,6.2377,normal,0,0,0,0,0.000000,0.000000,
1772862988.613723,359c120c747d466453138d2d,/detect_drift,200,2.4074,normal,0,0,0,0,0.992985,0.880000,
1772862988.618571,f187a24e222f9f4cb721258e,/detect_drift,200,5.9412,normal,0,0,0,0,0.584597,0.880000,
