timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,score,threshold,error
1772863373.481184,2804887acceedf60c615ba35,/detect_drift,200,6.2001,sudden_drift,1,0,0,0,0,0,0.996960,0.880000,
1772863373.481365,46d98c6d5fe1732952c9e3a4,/score,200,7.8373,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.481555,15ec415955eadfd0d15fed78,/score,200,7.6159,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.481806,41d7dd7ca51a4a334b5392c5,/score,200,7.6290,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.482366,00ea81fa67209f79bde6b076,/detect_drift,200,6.2092,sudden_drift,1,0,0,0,0,0,0.988338,0.880000,
1772863373.483876,9a9989cc970797659f455a4b,/detect_drift,200,2.6792,sudden_drift,1,0,0,0,0,0,0.402477,0.880000,
1772863373.489822,56883895119dbb97ba7047c7,/predict,200,8.0033,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.490001,764b1dd477f7b0d0f880eba7,/score,200,8.6233,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.490198,736b2b217d75e6f554521a40,/score,200,8.6302,sudden_drift,1,1,1,1,1,1,10.744781,1.000000,
1772863373.490422,cc9fdd8ec46d679ee587bf2d,/score,200,8.0430,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.490941,6a00e99b35ddb5ebd208443c,/predict,200,7.0535,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.492449,94a8600f24e3724aeb03a1af,/predict,200,2.6140,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.497368,1601895dc5009f0ecc02eb7f,/score,200,6.4152,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.497535,d5786bd07d3baaae13ca7e98,/predict,200,7.5223,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.497718,61fcabdd793be8041bc28b02,/detect_drift,200,7.5084,sudden_drift,1,0,0,0,0,0,0.402477,0.880000,
