timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,vote_ratio,psi_component,ks_component,prediction_component,score,threshold,error
1772864714.363036,b6bec006afc5311a12d03210,/detect_drift,200,7.7243,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.992348,0.880000,
1772864714.363596,86b0bbcaec210197f379490f,/score,200,6.3712,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.365491,c1ec5b282e9ba2076f2b2fbe,/detect_drift,200,3.0586,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.982316,0.880000,
1772864714.370298,46544051709b963cd2dbee2a,/detect_drift,200,6.6873,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.994311,0.880000,
1772864714.370485,cd745ae417286a0ec0d82c36,/score,200,7.8734,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.370899,f2b40d9e4373d6263b23b5ee,/detect_drift,200,7.8500,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.995882,0.880000,
1772864714.371143,d431f785018f3823eec18776,/score,200,8.3382,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.371813,1353cc356d16aa43191c8824,/predict,200,6.3087,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.373044,efa296736c84b27d9d5468ea,/detect_drift,200,2.7335,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.993025,0.880000,
1772864714.377996,ada0efd5cc5b06893c761fbb,/detect_drift,200,6.1709,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.993330,0.880000,
1772864714.378169,c96365f39de0a65affed805b,/score,200,7.6710,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.378565,159c1a8f89cf4a306ce90465,/detect_drift,200,7.6533,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.993566,0.880000,
1772864714.378795,3dd35d2b0afa6a35f82b04c2,/predict,200,7.6401,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.379422,a53c15481a4a5ec8e0c6cc32,/predict,200,6.3654,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.380786,6db8335458f09291c5e3a4a0,/score,200,2.7763,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.385867,eb9059eb0793a8fb93edc275,/score,200,6.4321,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.386048,9b49f74e54e431ea063ef642,/score,200,7.8668,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.386244,0508d4285cb2809f6fbb8a6c,/predict,200,7.6668,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.386455,f8f790424ce5a93f8618bf08,/predict,200,7.6481,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.387244,920ed598f3b58d1bf61a275a,/detect_drift,200,6.4430,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.994189,0.880000,
1772864714.388367,b30999553313fb4b680bee7a,/score,200,2.4865,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.393503,4c7854084b6263da4d57f1ee,/score,200,6.2465,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
